92	0.00010972127462810288
93	2.744943533847119e-05
94	0.00010247655213182817
95	1.3473731041020997e-05
96	3.175683595587179e-05
97	3.490387537642864e-06
98	2.2176552794050737e-05
99	7.010956077410299e-06
100	2.0269002769700747e-05
101	1.882096389901708e-05
102	5.479521770263016e-05
103	1.195119440071197e-05
104	2.4843048693035243e-05
105	1.44533544272394e-05
106	1.9093408586113146e-05
107	9.214691059584638e-06
108	1.3141913134468175e-05
109	2.076489043481215e-05
110	2.7083364130851432e-05
111	4.0242842018224905e-06
112	1.1603605904587414e-05
113	6.65912492375707e-06
114	7.946624283149896e-06
115	3.927852979039825e-06
116	6.954299517262261e-07
117	1.059410003287002e-06
118	4.562804339977024e-07
119	2.398678905600177e-07
120	1.0465464081489544e-06
121	5.284178707914062e-07
122	9.837836758230509e-07
123	9.479052377252273e-07
124	3.415074398481949e-06
125	4.201211435136355e-06
126	9.893781851731095e-06
127	1.1483960942778686e-05
128	1.5671599024643263e-05
129	1.52992143323008e-05
130	4.599181402991069e-06
131	1.804794579668462e-06
132	1.8731398841509897e-06
133	2.201271837824482e-06
134	2.3318552141497254e-06
135	1.6647341234915592e-06
136	1.736199329561804e-06
137	1.7210566425975557e-06
138	1.7449555036838786e-06
139	1.155077799681601e-06
140	1.932911017154914e-06
141	2.6657618223312286e-06
142	9.513584001287111e-07
143	4.595185030055571e-07
144	6.062268676614985e-07
145	8.378277347170911e-08
146	1.1803598118500339e-07
147	1.6228689112967606e-07
148	2.959032158638666e-07
149	2.257350617689636e-07
150	9.790919751494874e-07
151	8.423223732392362e-07
152	6.490633485920822e-07
153	3.349833421975268e-07
154	4.55440192670967e-07
155	3.0653829763774996e-07
156	5.787852957309368e-07
157	4.180144494921562e-07
158	7.081391541080138e-07
159	3.3597564244378453e-07
160	6.336281896393226e-07
161	3.464436370905762e-07
162	6.548202460205899e-07
163	3.7524018138714116e-07
164	8.221402066806315e-07
165	4.203845572797108e-07
166	7.943167496786192e-07
167	3.7628402510580915e-07
168	6.113067116240524e-07
169	6.354309311274262e-07
170	5.222886688642024e-07
171	4.966439320753679e-07
172	4.901940515338248e-07
173	5.428035328509132e-07
174	7.247957991014024e-07
175	5.864796520133977e-07
176	5.633599159164095e-07
177	6.217454833331483e-07
178	4.988940135008422e-07
179	3.449657888634106e-07
180	2.6469757637208027e-07
181	1.9055930253527148e-07
182	1.425983103944614e-07
183	7.277286644175494e-08
184	8.896593957578785e-08
185	5.713630717836536e-08
186	1.5244317702697286e-07
187	1.0811675170144377e-07
188	3.044567326515581e-07
189	6.303055303776419e-07
190	1.1805171583032663e-06
191	1.5391446085361041e-06
192	2.4168991038872144e-06
193	3.299717367967122e-06
194	3.6184901360969475e-06
195	3.49791167657359e-06
196	2.204963242935876e-06
197	1.4414775553917264e-06
198	6.46018262277515e-07
199	2.601039601053259e-07
200	2.258554336555237e-07
201	8.652597518948623e-08
202	9.31458065648847e-08
203	6.825978347914785e-08
204	9.631158863630086e-08
205	9.904300924560905e-08
206	1.4174164864554257e-06
207	1.4752330349213292e-06
208	1.0890572917503872e-06
209	2.025384800081724e-06
210	1.2053791667874454e-13
211	4.8817140884760616e-18
212	8.064084752421602e-17
213	3.593688864911717e-45
214	1.5755834998556893e-17
215	9.496186868783393e-15
216	2.5981534803372357e-16
217	2.075891503605721e-95
218	2.7095898439391964e-21
219	3.531388021370589e-14
220	5.050401279888607e-18
221	8.65e-322
222	1.9337152105741046e-18
223	3.324063410511322e-17
224	9.551707999052217e-19
225	3.040106035440782e-41
226	2.9435563372105635e-13
227	2.316312539952363e-14
228	3.0643208218861954e-12
229	1.1421565807083593e-30
230	1.387290026721415e-11
231	3.464635863954921e-11
232	1.3412631848913523e-06
233	2.443852273100222e-27
234	4.517362760852567e-11
235	7.467199924027184e-07
236	3.818286445656478e-09
237	-9.965e-321
238	8.218007429527864e-07
239	2.777435015205417e-18
240	7.558578021383917e-13
241	0.0
242	6.258438866372028e-117
243	8.490603221263234e-19
244	9.20049381853683e-09
245	0.0
246	1.4499172604585707e-10
247	1.7920276620331435e-15
248	3.8435311094117267e-116
249	0.0
250	0.0
251	-3.585204795e-315
252	0.0
253	0.0
254	0.0
255	0.0
256	0.0
257	8.544442781890999e-27
258	1.9741774102524615e-07
259	8.688249012533414e-27
260	2.1617425832190732e-07
261	1.7479823765537183e-07
262	2.0422485621416296e-07
263	1.988079725247941e-07
264	2.4785188163560196e-07
265	1.9692035548971232e-07
266	2.5537370700601625e-07
267	1.4414088579715277e-07
268	1.2012611875973665e-07
269	2.559556512539415e-07
270	2.806944136609697e-07
271	2.68605135669219e-07
272	4.775633388539564e-07
273	6.099696367667056e-07
274	6.189018993433456e-07
275	6.231076470940406e-07
276	8.947977153295017e-07
277	2.5924328527933213e-07
278	4.338545681730642e-07
279	2.200402738385036e-07
280	8.941634603600295e-08
281	2.496586104929948e-08
282	1.749587044414208e-08
283	9.722467225943216e-09
284	1.749626385809063e-08
285	2.2682652547434026e-08
286	3.0372073075029486e-08
287	3.308397891050752e-08
288	3.729980365519514e-08
289	2.1930167546816812e-08
290	2.6599102256565385e-08
